1572077558.41671;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.417355;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.418074;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.418812;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.419647;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.420512;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077558.421996;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.188045;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.190377;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.191851;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.197128;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.198066;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077560.24407;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572077770.733742;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572077771.908595;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077772.800877;a0:af:bd:86:08:76;;Co-Working
1572077772.958038;a0:af:bd:86:08:76;;Co-Working
1572077772.974014;a0:af:bd:86:08:76;;Co-Working
1572077773.753622;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077773.754403;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077773.759544;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077773.760279;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077774.099915;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077774.496596;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077774.497434;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077774.498233;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077774.499204;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077776.362392;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077776.363909;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077776.366859;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077776.367637;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077776.368408;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077777.140842;d0:b1:28:94:3e:ff;;startup.Connect - HUE
1572077777.707332;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572077778.097622;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.098324;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.714113;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.714834;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.71558;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.717259;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.718714;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.719597;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077778.720366;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.567457;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.894261;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077802.943728;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077802.961923;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.962895;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.963568;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.964361;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.965079;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.965908;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.96665;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077802.968144;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077803.158758;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077803.209088;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077803.424068;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077803.690419;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077804.486265;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077804.536331;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077806.007527;f4:5c:89:6e:87:6c;Apple, Inc.;Co-Working
1572077806.017674;f4:5c:89:6e:87:6c;Apple, Inc.;Co-Working
1572077806.363051;f4:5c:89:6e:87:6c;Apple, Inc.;Co-Working
1572077806.378092;f4:5c:89:6e:87:6c;Apple, Inc.;Co-Working
1572077806.408353;f4:5c:89:6e:87:6c;Apple, Inc.;Co-Working
1572077806.413837;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077806.463929;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077806.517697;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572077806.541836;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.542559;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.545645;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.548275;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.550145;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.552272;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.70017;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077806.750304;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077806.76933;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.770157;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.772252;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077806.970222;44:4e:6d:1b:5f:85;;FRITZ!Box 7580 FT
1572077807.043449;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.044379;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.045168;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.045921;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.046631;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.04734;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.04804;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077807.048821;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077808.766051;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077808.767818;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077808.768587;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572077809.249392;00:6e:07:87:99:c3;;ChinaNet
1572077809.256648;9c:b6:d0:da:8a:99;Rivet Networks;Hackathon_5G
1572077809.359101;9c:b6:d0:da:8a:99;Rivet Networks;Hackathon_5G
